rotor1, rotor2, rotor3, rotor4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
2213.3687, 2296.7385, 0, 2145.309
2528.232, 2626.9702, 2220.9063, 2146.5369
3227.1946, 3487.561, 2858.7764, 0
4087.1934, 4172.462, 3273.6797, 3136.1072
4612.5464, 4537.205, 4110.715, 4879.6357
5533.0137, 6289.308, 4749.8413, 5681.818
6216.328, 5407.354, 5559.674, 6616.674
6827.492, 7072.1357, 6172.8394, 7422.068
7507.5073, 7759.9585, 6538.797, 8034.28
8121.278, 8301.052, 7211.5386, 8715.863
8600.917, 8907.363, 8205.689, 9410.288
9047.044, 9493.671, 8705.746, 9960.159
9652.51, 9900.989, 9316.77, 10526.316
10141.987, 10351.968, 9842.52, 11037.528
10600.707, 10822.511, 10380.623, 11618.899
10964.913, 11278.195, 10783.609, 11990.408
11355.034, 11609.907, 11169.024, 12489.593
11700.468, 11942.675, 11511.8955, 12853.47
12067.578, 12274.959, 11923.688, 13345.196
12335.527, 12583.893, 12376.237, 13586.956
12376.237, 12897.678, 12733.446, 13940.52
12875.536, 13192.611, 13066.202, 14285.715
13239.188, 13477.089, 13380.909, 14218.01
13440.86, 13673.655, 13562.387, 14895.7295
13698.631, 13927.576, 13850.415, 15243.902
13953.488, 14124.294, 14111.008, 15544.041
14164.306, 14734.774, 14272.122, 15756.303
14326.648, 14492.754, 14506.7705, 16042.78
14478.765, 14734.774, 14749.264, 16181.2295
14662.756, 14925.373, 14940.24, 16339.869
14822.134, 15105.74, 15120.968, 16648.168
14866.204, 15228.426, 15290.52, 16666.666
15166.836, 15400.409, 15463.918, 16910.936
15274.948, 15527.95, 15625.001, 17142.857
15400.409, 15673.98, 15772.87, 17221.584
15479.875, 15789.474, 15940.488, 17401.39
15657.619, 15889.83, 16042.78, 17482.516
15789.474, 16042.78, 16393.443, 17857.143
15889.83, 16146.395, 16501.65, 17985.611
15991.473, 16233.767, 16629.71, 18137.848
16111.708, 16339.869, 16741.07, 18248.176
16233.767, 16465.422, 16853.932, 18404.908
16286.6455, 16556.293, 17026.105, 18472.906
16411.379, 16592.92, 17123.287, 18656.717
16501.65, 16703.787, 17201.834, 18541.41
16574.584, 16797.313, 17281.105, 18656.717
16629.71, 16872.89, 17401.39, 18915.512
16685.205, 16930.023, 17502.916, 18987.342
16797.313, 16930.023, 17584.996, 19059.72
16853.932, 17064.846, 17647.059, 19132.654
16853.932, 17162.473, 17709.564, 19280.205
16987.543, 17201.834, 17793.594, 19206.145
17006.803, 17241.379, 17857.143, 19505.852
17084.281, 17321.016, 17857.143, 19531.248
17142.857, 17381.229, 17964.07, 19556.713
17221.584, 17421.604, 18028.846, 19659.24
17261.22, 17462.164, 18072.29, 19659.24
17321.016, 17523.363, 18115.941, 19762.846
17341.04, 17564.402, 18159.807, 19710.908
17401.39, 17584.996, 18248.176, 19867.549
17441.861, 17647.059, 18292.684, 19920.318
17502.916, 17688.678, 18337.408, 20000
17523.363, 17730.496, 18382.354, 19946.809
17584.996, 17751.48, 18382.354, 19867.549
17626.322, 17772.512, 18450.186, 20107.24
17647.059, 17814.727, 18518.518, 20161.29
17667.846, 17857.143, 18564.357, 20134.229
17730.496, 17878.428, 18564.357, 20134.229
17772.512, 17921.148, 18633.54, 20242.916
17772.512, 17942.584, 18656.717, 20297.701
17814.727, 17942.584, 18703.242, 20325.203
17814.727, 17964.07, 18750, 20352.781
17899.762, 17985.611, 18796.992, 20352.781
17857.143, 18028.846, 18796.992, 20408.162
17942.584, 18072.29, 18820.576, 20380.436
17964.07, 18115.941, 18867.926, 20435.967
18007.203, 18137.848, 18915.512, 20519.838
18028.846, 18159.807, 18939.395, 20491.803
18072.29, 18203.885, 18915.512, 20547.945
18094.088, 18203.885, 18987.342, 20576.13
18094.088, 18226.004, 18963.338, 20604.395
18094.088, 18270.4, 19035.533, 20632.736
18115.941, 18315.018, 19083.969, 20632.736
18203.885, 18292.684, 19132.654, 20632.736
18248.176, 18337.408, 19157.088, 20718.232
18270.4, 18404.908, 19157.088, 20746.889
18292.684, 18472.906, 19206.145, 20775.623
18427.518, 18587.361, 19255.455, 20804.438
18844.22, 18610.42, 19404.916, 21613.834
18844.22, 18939.395, 19582.246, 21613.834
18844.22, 18939.395, 19867.549, 21645.021
18844.22, 18939.395, 19841.27, 21613.834
18844.22, 18939.395, 19841.27, 21613.834
18844.22, 18915.512, 19867.549, 21645.021
18867.926, 18939.395, 19815.059, 21613.834
18844.22, 18915.512, 19815.059, 21276.596
0, 0, 19815.059, 0

